Programme...:	MICH
Date........:	   202021-04-
Heure.......:	     6 16:25:
Colonnes....:	            3
Lignes......:	          337
Décalage....:	           17
Commentaires:	essaie 4, modulage de 10

P.abs.i.(mp):	 1.5150100E+5	P.cal.i.(µm):	-4.2692683E+0	V_min___(mV):	 8.7713730E+5	
P.abs.f.(mp):	 1.5217300E+5	P.cal.f.(µm):	 3.7445538E+0	V_max___(mV):	 5.2784562E+5	
Nbre_de_pts_:	 3.3700000E+2	Délai___(ms):	 7.0000000E+1	Calibration_:	 8.3200000E+0	
Source......:	lumiere blanche - filtre-rouge	
Filtre......:		
Détecteur...:		
Éch._du_pico:		
Temps___(ms):	Pos.cal.(µm):	Tension_(mV):	
 8.7130210E+6	-4.2692683E+0	 6.7904252E+2	
 8.7132290E+6	-4.2454177E+0	 6.7904252E+2	
 8.7135080E+6	-4.2215670E+0	 6.7904252E+2	
 8.7137870E+6	-4.1977163E+0	 6.7904252E+2	
 8.7140670E+6	-4.1738657E+0	 6.7879826E+2	
 8.7143460E+6	-4.1500150E+0	 6.7879826E+2	
 8.7146250E+6	-4.1261644E+0	 6.7879826E+2	
 8.7456240E+6	-1.4787410E+0	 6.9149977E+2	
 8.7459040E+6	-1.4548903E+0	 6.9149977E+2	
 8.7461830E+6	-1.4310397E+0	 6.9149977E+2	
 8.7464620E+6	-1.4071890E+0	 6.9149977E+2	
 8.7467420E+6	-1.3833383E+0	 6.9149977E+2	
 8.7470210E+6	-1.3594877E+0	 6.9149977E+2	
 8.7473000E+6	-1.3356370E+0	 6.9149977E+2	
 8.7475790E+6	-1.3117864E+0	 6.9125551E+2	
 8.7478590E+6	-1.2879357E+0	 6.9101125E+2	
 8.7481380E+6	-1.2640850E+0	 6.9076699E+2	
 8.7484170E+6	-1.2402344E+0	 6.9003421E+2	
 8.7486970E+6	-1.2163837E+0	 6.8954569E+2	
 8.7489760E+6	-1.1925331E+0	 6.8905717E+2	
 8.7492550E+6	-1.1686824E+0	 6.8856865E+2	
 8.7495350E+6	-1.1448317E+0	 6.8783587E+2	
 8.7498140E+6	-1.1209811E+0	 6.8710309E+2	
 8.7500930E+6	-1.0971304E+0	 6.8612605E+2	
 8.7503720E+6	-1.0732797E+0	 6.8563753E+2	
 8.7506520E+6	-1.0494291E+0	 6.8490475E+2	
 8.7509310E+6	-1.0255784E+0	 6.8417197E+2	
 8.7512100E+6	-1.0017278E+0	 6.8368345E+2	
 8.7514900E+6	-9.7787710E-1	 6.8319494E+2	
 8.7517690E+6	-9.5402644E-1	 6.8246216E+2	
 8.7520480E+6	-9.3017578E-1	 6.8172938E+2	
 8.7523280E+6	-9.0632512E-1	 6.8099660E+2	
 8.7526070E+6	-8.8247446E-1	 6.8026382E+2	
 8.7528860E+6	-8.5862380E-1	 6.7977530E+2	
 8.7531650E+6	-8.3477314E-1	 6.7904252E+2	
 8.7534450E+6	-8.1092248E-1	 6.7806548E+2	
 8.7537240E+6	-7.8707181E-1	 6.7708844E+2	
 8.7540030E+6	-7.6322115E-1	 6.7611140E+2	
 8.7542830E+6	-7.3937049E-1	 6.7513436E+2	
 8.7545620E+6	-7.1551983E-1	 6.7415732E+2	
 8.7548410E+6	-6.9166917E-1	 6.7318028E+2	
 8.7551200E+6	-6.6781851E-1	 6.7244750E+2	
 8.7554000E+6	-6.4396785E-1	 6.7171472E+2	
 8.7556790E+6	-6.2011719E-1	 6.7098194E+2	
 8.7559580E+6	-5.9626653E-1	 6.7049342E+2	
 8.7562380E+6	-5.7241587E-1	 6.7073768E+2	
 8.7565170E+6	-5.4856520E-1	 6.7098194E+2	
 8.7567960E+6	-5.2471454E-1	 6.7147046E+2	
 8.7570760E+6	-5.0086388E-1	 6.7220324E+2	
 8.7573550E+6	-4.7701322E-1	 6.7342454E+2	
 8.7576340E+6	-4.5316256E-1	 6.7464584E+2	
 8.7579130E+6	-4.2931190E-1	 6.7586714E+2	
 8.7581930E+6	-4.0546124E-1	 6.7757696E+2	
 8.7584720E+6	-3.8161058E-1	 6.7928678E+2	
